"device_ID","session_start_timeStamp","focal_start_timeStamp","focalVars","Data usage","Weather"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","Weather",,"Sunny"
"B25CA928-6937-4DC6-A344-A9BF375C5B51","2021-01-23,18:49:05","2021-01-23,18:49:21","Data usage","research",
